1.0	Hassanal Bolkiah	be sultan of	Brunei	PERSON	LOCATION
1.0	rebel group	have reject	allegation	0	0
1.0	island	have	notorious reputation as entry point into country for separatist	0	0
1.0	Abdullah Ahmad Badawi	be	malaysian	PERSON	0
1.0	island	have	notorious reputation as entry point into country for muslim separatist	0	0
1.0	separatist rebellion	have	hotbed	O	O
1.0	philippine island	have	reputation as entry point into country for separatist	0	0
1.0	philippine island	have	reputation as entry point	0	0
1.0	Jesus Dureza	be aide of	Philippine President Gloria Arroyo	PERSON	PERSON
0.7306735413023794	trade	prevent	Mindanao	0	0
1.0	we	also harden	we border	0	0
1.0	rogue leaders	have	some	O	O
1.0	Brunei	have	flag carrier	O	LOCATION
1.0	Brunei	have	Sultan Hassanal Bolkiah	PERSON	LOCATION
1.0	some	have	JI militant	0	0
1.0	Brunei	with	Hassanal Bolkiah	LOCATION	PERSON
1.0	island	have	reputation as entry point into country for separatist	0	0
1.0	largest separatist group	be in	area	0	0
1.0	island	have	notorious reputation	0	0
1.0	some	have	sheltered JI militant	0	0
1.0	trade	necessitate	tourism	0	0
1.0	Royal Brunei Airlines	use mindanao-brunei route to	service	ORGANIZATION	0
1.0	guerrillas	have	weapons	O	O
1.0	philippine island	have	notorious reputation as entry point into country	0	0
1.0	philippine island	have	notorious reputation as entry point into country for separatist	0	0
1.0	we	harden	we border	0	0
1.0	Gloria Arroyo	be with	philippine	PERSON	0
1.0	Jesus Dureza	be	Philippine President Gloria Arroyo	PERSON	PERSON
1.0	Malaysia	be help	broker peace talk	LOCATION	0
1.0	island	have	notorious reputation as entry point into country	0	0
1.0	philippine island	have	notorious reputation as entry point	0	0
1.0	rules	have	harmonisation	O	O
0.7306735413023794	trade	prevent	tourism	0	0
1.0	island	have	reputation	0	0
1.0	philippine island	have	reputation as entry point into country	0	0
1.0	Royal Brunei Airlines	use mindanao-brunei route to	service southern	ORGANIZATION	0
1.0	rebel group	have reject allegation by	philippine military	0	0
1.0	Malaysia	be meanwhile help	broker peace talk between Manila	LOCATION	LOCATION
1.0	Mindanao	have	island	O	LOCATION
1.0	rebel group	have reject allegation by	military	0	0
1.0	Royal Brunei Airlines	use	Mindanao-Brunei route	ORGANIZATION	LOCATION
1.0	Moro Islamic Liberation front	group in	area	ORGANIZATION	0
1.0	Malaysia	be help	broker peace talk between Manila	LOCATION	LOCATION
1.0	Susilo Bambang Yudhoyono	be	Indonesian	PERSON	MISC
1.0	Arroyo aide Jesus Dureza	tell	news conference	0	0
1.0	efforts	have	part	O	O
1.0	Royal Brunei Airlines	be flag carrier of	Brunei	ORGANIZATION	ORGANIZATION
1.0	the terrorists	have	movement	O	O
1.0	Brunei	have	flag carrier	ORGANIZATION	0
1.0	philippine island	have	reputation	0	0
1.0	island	have	reputation as entry point into country for muslim separatist	0	0
1.0	philippine island	have	notorious reputation as entry point into country for muslim separatist	0	0
1.0	Mindanao	have	islands	O	LOCATION
1.0	island	have	reputation as entry point	0	0
1.0	2002 Bali bombing	behind militant be	JI	DATE	0
1.0	The rebel group	have	rogue leaders	O	O
1.0	course	have	trade	O	O
1.0	Malaysia	be meanwhile help	broker peace talk	LOCATION	0
1.0	Royal Brunei Airlines	have express	interest	ORGANIZATION	0
1.0	Brunei	's bolkiah be	Susilo Bambang Yudhoyono	LOCATION	PERSON
1.0	Palawan	have	islands	O	LOCATION
1.0	philippine island	have	reputation as entry point into country for muslim separatist	0	0
1.0	contract job	be in	Middle East	0	LOCATION
1.0	ASEAN summit	have	sidelines	O	O
1.0	training camp	be in	Mindanao	0	LOCATION
1.0	island	have	notorious reputation as entry point	0	0
1.0	island	have	reputation as entry point into country	0	0
1.0	philippine island	have	notorious reputation	0	0
1.0	the three neighbours	have	borders	O	O
