1.0	Omar al-Beshir	be	Sudanese	PERSON	MISC
1.0	talk	have make progress with	two side remain far apart on critical issue	0	NUMBER
1.0	Kony	take	LRA	PERSON	ORGANIZATION
1.0	talk	have barely make progress with	two side remain on issue	0	NUMBER
1.0	Kony	take leadership among	northern Uganda 's minority	PERSON	LOCATION
1.0	talk	have barely make progress include	Ugandan military	0	MISC
1.0	talk	have make progress apart from	initial cessation of hostility agreement	0	0
1.0	delegation	ask	President Mwai Kibaki	ORGANIZATION	PERSON
1.0	Tuesday	have	where have accuse	0	0
1.0	Kony	take leadership among	Uganda 's acholi minority	PERSON	LOCATION
1.0	delegation	ask	chairman of regional	ORGANIZATION	ORGANIZATION
1.0	talk	have make progress apart from	cessation	0	0
1.0	talk	have make progress with	two side remain	0	NUMBER
1.0	talk	have barely make progress with	two side remain far apart on critical issue	0	NUMBER
1.0	delegation	ask president mwai kibaki on	Development	ORGANIZATION	ORGANIZATION
0.9003927463000094	two side	remain apart on	critical issue	NUMBER	0
1.0	Kony	take	leadership of rebellion	PERSON	0
1.0	talk	have barely make	progress	0	0
1.0	Uganda	among	ethnic acholi minority	LOCATION	0
1.0	talk	have make progress apart from	cessation of hostility agreement	0	0
0.6898566117974146	Kony	leadership of	regional rebellion	PERSON	0
1.0	talk	have make progress include	reform Ugandan military	0	MISC
1.0	talk	have make progress with	two side remain on critical issue	0	NUMBER
1.0	talk	have make progress include	Ugandan	0	MISC
1.0	delegation	ask	chairman	ORGANIZATION	0
1.0	talk	have barely make progress apart from	initial cessation of hostility agreement	0	0
1.0	talk	have make progress with	two side	0	NUMBER
1.0	world	have	crises	O	O
0.6898566117974146	Kony	leadership	LRA	PERSON	ORGANIZATION
1.0	hostilities agreement	have	cessation	O	O
1.0	talk	have barely make progress apart from	cessation of hostility agreement	0	0
1.0	talk	have barely make progress with	two side remain apart	0	NUMBER
1.0	talk	have barely make progress with	two side remain on critical issue	0	NUMBER
1.0	talk	have make progress with	two side remain apart on issue	0	NUMBER
1.0	Tuesday	attack	target	0	0
1.0	talk	have barely make progress with	two side remain	0	NUMBER
0.9003927463000094	two side	remain on	critical issue	NUMBER	0
1.0	Kony	take	leadership	PERSON	0
1.0	Uganda	change	venue of talk	LOCATION	0
1.0	regional	have	chairman	O	O
1.0	talk	have make progress include	Ugandan military	0	MISC
1.0	Uganda	change	venue of talk aim	LOCATION	0
1.0	conflict	have rage since	1988	0	DATE
1.0	talk	have make progress with	two side remain far apart	0	NUMBER
0.6898566117974146	Kony	leadership of	rebellion	PERSON	0
1.0	Tuesday	attack	civilian target	0	0
1.0	Martin Ojur	have	team	O	O
1.0	talks	have	venue	O	O
1.0	Lord 's resistance Army	be on	Friday	ORGANIZATION	DATE
0.9003927463000094	two side	remain far apart on	issue	NUMBER	0
1.0	Kony	take leadership among	northern Uganda 's ethnic minority	PERSON	LOCATION
1.0	southern Sudan	have	region	O	LOCATION
1.0	Kony	take leadership among	Uganda 's minority	PERSON	LOCATION
1.0	talk	have barely make progress with	two side remain far apart	0	NUMBER
1.0	talk	have make progress with	two side remain apart	0	NUMBER
1.0	talk	have make progress with	two side remain on issue	0	NUMBER
1.0	Kony	take leadership among	Uganda 's ethnic acholi minority	PERSON	LOCATION
1.0	world	of	worst humanitarian crisis	0	0
1.0	talk	have make progress include	reform Ugandan	0	MISC
1.0	talk	have barely make progress with	two side remain far apart on issue	0	NUMBER
1.0	delegation	ask president mwai kibaki on	Inter-Governmental Authority on Development	ORGANIZATION	ORGANIZATION
1.0	Kony	take leadership among	northern Uganda 's acholi minority	PERSON	LOCATION
0.9003927463000094	two side	remain far apart on	critical issue	NUMBER	0
1.0	country	have	leadership	O	O
1.0	rebellion	have	leadership	O	O
1.0	Uganda	change	venue	LOCATION	0
1.0	talk	have barely make progress with	two side remain apart on issue	0	NUMBER
1.0	talk	have make	progress	0	0
1.0	Lord	have	Resistance	ORGANIZATION	ORGANIZATION
1.0	Uganda	have	minority	O	LOCATION
1.0	talk	have make progress with	two side remain far apart on issue	0	NUMBER
1.0	talk	have barely make progress include	reform Ugandan military	0	MISC
1.0	talk	have barely make progress include	Ugandan	0	MISC
1.0	talk	have barely make progress with	two side remain apart on critical issue	0	NUMBER
1.0	talk	have make progress apart from	initial cessation	0	0
1.0	talk	have barely make progress with	two side	0	NUMBER
1.0	Kony	take leadership among	northern Uganda 's ethnic acholi minority	PERSON	LOCATION
1.0	talk	have make progress with	two side remain apart on critical issue	0	NUMBER
1.0	Kony	take	leadership of regional rebellion	PERSON	0
1.0	Tuesday	have	have accuse	0	0
1.0	Indeed , in the circumstances and due to security considerations LRA delegation for the peace talks	have	resumption	O	O
1.0	crises	have	one	NUMBER	O
1.0	talk	have barely make progress include	reform Ugandan	0	MISC
0.9003927463000094	two side	remain on	issue	NUMBER	0
1.0	Kony	take leadership among	Uganda 's ethnic minority	PERSON	LOCATION
1.0	Mwai Kibaki	chairman of	regional seven	PERSON	ORGANIZATION
0.9003927463000094	two side	remain apart on	issue	NUMBER	0
1.0	talk	have barely make progress apart from	initial cessation	0	0
1.0	talk	have barely make progress apart from	cessation	0	0
1.0	President Mwai Kibaki	salvage	talk	PERSON	0
1.0	delegation	ask	chairman of regional seven	ORGANIZATION	ORGANIZATION
1.0	region	have	capital	O	O
