1.0	Old Bailey	be in	London	LOCATION	LOCATION
1.0	lawyer Paul Raudnitz	be	take month on charge	0	DATE
1.0	court case	come	struggle in south invade by force follow September 11	0	DATE
1.0	Richards	be	head of NATO 's more than International Security Assistance Force	PERSON	ORGANIZATION
1.0	court case	come	struggle against expect Taliban insurgent invade by force	0	ORGANIZATION
1.0	corporal Daniel James	be	during he appearance remand until plea	PERSON	0
1.0	corporal Daniel James	be	during he appearance remand in custody	PERSON	0
1.0	court case	come	struggle against Taliban insurgent invade	0	ORGANIZATION
1.0	court case	come	struggle against expect Taliban insurgent in south of Afghanistan invade by us-led force	0	LOCATION
1.0	NATO troops	have	commander	O	O
1.0	court case	come	struggle against expect Taliban insurgent invade by force follow September 11	0	DATE
1.0	lawyer Paul Raudnitz	be	take into custody last month	0	DATE
1.0	court case	come	struggle in south of Afghanistan invade by us-led force follow September 11	0	DATE
1.0	corporal Daniel James	be	during he appearance at Old Bailey in London on prison video-link remand in custody	PERSON	LOCATION
1.0	court case	come	struggle against Taliban insurgent invade by us-led force follow September 11	0	DATE
1.0	Richards	be	head of NATO 's more than 30,000-strong International Security Assistance Force	PERSON	ORGANIZATION
1.0	court case	come	struggle against expect Taliban insurgent	0	ORGANIZATION
1.0	charge	heighten tension over	republic 's nuclear plan	0	0
1.0	corporal Daniel James	be	during he appearance at Old Bailey remand in custody until plea	PERSON	LOCATION
1.0	court case	come	struggle in south invade	0	0
1.0	corporal Daniel James	be	during he appearance remand in custody until plea on June 15	PERSON	DATE
1.0	judge	reject request from	Daniel James	0	PERSON
1.0	The judge	allegedly commit	offens	0	0
1.0	lawyer Paul Raudnitz	be	take into custody last month on charge	0	DATE
1.0	court case	come	struggle against expect Taliban insurgent in south invade	0	ORGANIZATION
1.0	Richards	be	head more than International Security Assistance Force in Afghanistan	PERSON	ORGANIZATION
0.4332009986312979	court case	come as	force	0	0
1.0	court case	come	struggle in south of Afghanistan invade	0	LOCATION
1.0	charge	heighten tension over	republic 's plan	0	0
1.0	an aide to the British commander of NATO troops	have	appearance	O	O
1.0	court	reject	bail	0	0
1.0	corporal Daniel James	be	during he appearance at Old Bailey in London on prison video-link remand until plea on June 15	PERSON	LOCATION
1.0	Richards	be more than	30,000-strong International Security Assistance Force in Afghanistan	PERSON	ORGANIZATION
0.4332009986312979	court case	come as	british-led force	0	0
0.932196396705269	fluent Pashtun	one	main language in Afghanistan	MISC	LOCATION
1.0	court case	come	struggle in south of Afghanistan invade by force	0	LOCATION
1.0	The judge	allegedly commit	other offens	0	0
1.0	court case	come	struggle against Taliban insurgent in south invade by force follow September 11	0	DATE
1.0	lawyer Paul Raudnitz	be	take last month on charge allege	0	DATE
0.932196396705269	Pashtun	one of	language	MISC	0
1.0	court case	come	struggle against expect Taliban insurgent in south of Afghanistan invade by force follow September 11	0	DATE
1.0	court case	come	struggle invade by force follow September 11	0	DATE
1.0	lawyer Paul Raudnitz	intend	directly useful to enemy	0	0
1.0	court	reject bail for	aide to british commander	0	0
1.0	court case	come	struggle invade	0	0
1.0	Richards	be more	head of NATO 's	PERSON	ORGANIZATION
1.0	corporal Daniel James	be	during he appearance at Old Bailey in London on prison video-link remand in custody until plea on June 15	PERSON	LOCATION
0.932196396705269	Pashtun	one of	main language	MISC	0
1.0	court	reject bail for	aide to commander	0	0
1.0	court case	come	struggle against Taliban insurgent in south invade by us-led force	0	ORGANIZATION
1.0	Richards	be	head more than 30,000-strong International Security Assistance Force in Afghanistan	PERSON	ORGANIZATION
1.0	lawyer Paul Raudnitz	be take on	charge allege	0	0
1.0	corporal Daniel James	be	during he appearance at Old Bailey in London on prison video-link remand in custody until plea	PERSON	LOCATION
1.0	Pashtun	one of	main language in Afghanistan	MISC	LOCATION
1.0	languages	have	one	NUMBER	O
1.0	court case	come struggle as	british-led force	0	0
1.0	Richards	be more than	30,000-strong International Security Assistance Force	PERSON	ORGANIZATION
1.0	International Security Assistance Force	be in	Afghanistan	ORGANIZATION	LOCATION
1.0	James	have	boss	O	PERSON
1.0	Afghanistan who is accused of passing secrets to the enemy , reportedly Iran	have	south	O	LOCATION
1.0	islamic republic	over	nuclear plan	0	0
1.0	court case	come	struggle in south of Afghanistan	0	LOCATION
1.0	he	proclaim	he innocence	0	0
1.0	lawyer Paul Raudnitz	be	take last month on charge	0	DATE
1.0	court case	come	struggle in south of Afghanistan invade by force follow September 11	0	DATE
0.932196396705269	fluent Pashtun	one	main language	MISC	0
1.0	court case	come	struggle against Taliban insurgent in south of Afghanistan invade by us-led force follow September 11	0	DATE
1.0	court case	come	struggle against expect Taliban insurgent in south invade by us-led force follow September 11	0	DATE
1.0	court case	come	struggle against Taliban insurgent in south invade by force	0	ORGANIZATION
1.0	lawyer Paul Raudnitz	be	take into custody month on charge	0	DATE
1.0	court case	come	struggle invade by force	0	0
1.0	he	be	patriot	0	0
1.0	corporal Daniel James	be	remand in custody until plea	PERSON	0
1.0	corporal Daniel James	be	during he appearance at Old Bailey in London remand in custody until plea	PERSON	LOCATION
1.0	corporal Daniel James	be remand during	he appearance	PERSON	0
1.0	court case	come	struggle in south invade by us-led force follow September 11	0	DATE
1.0	corporal Daniel James	be remand during	he appearance at Old Bailey in London on prison video-link	PERSON	LOCATION
1.0	The judge	commit	offens	0	0
1.0	corporal Daniel James	be	during he appearance at Old Bailey in London remand in custody until plea on June 15	PERSON	LOCATION
1.0	court case	come	struggle against Taliban insurgent	0	ORGANIZATION
1.0	Daniel James	be	44	PERSON	NUMBER
1.0	court	reject bail for	aide	0	0
1.0	court	reject bail for	aide to commander of NATO troops	0	ORGANIZATION
1.0	court case	come	struggle against expect Taliban insurgent in south of Afghanistan invade by force	0	LOCATION
1.0	lawyer Paul Raudnitz	defend	Daniel James	PERSON	PERSON
1.0	The judge	commit	other offens	0	0
1.0	court case	come	struggle invade by us-led force	0	0
1.0	court case	come	struggle against Taliban insurgent invade by us-led force	0	ORGANIZATION
1.0	court case	come	struggle against Taliban insurgent in south of Afghanistan invade by force	0	LOCATION
1.0	corporal Daniel James	be remand during	he appearance at Old Bailey in London	PERSON	LOCATION
1.0	corporal Daniel James	be	during he appearance at Old Bailey in London remand until plea on June 15	PERSON	LOCATION
1.0	lawyer Paul Raudnitz	intend	directly useful	0	0
1.0	September 11 2001	attack on	United States	DATE	LOCATION
0.932196396705269	Pashtun	one	main language in Afghanistan	MISC	LOCATION
1.0	lawyer Paul Raudnitz	be	take month on charge allege	0	DATE
0.932196396705269	Pashtun	one	language	MISC	0
1.0	republic	have	plans	O	O
1.0	corporal Daniel James	be	during he appearance at Old Bailey remand in custody	PERSON	LOCATION
1.0	corporal Daniel James	be	remand in custody until plea on June 15	PERSON	DATE
1.0	lawyer Paul Raudnitz	be	take into custody month	0	DATE
1.0	court case	come	struggle against Taliban insurgent in south	0	ORGANIZATION
1.0	charge	heighten tension over	islamic republic 's nuclear plan	0	0
0.932196396705269	fluent Pashtun	one	language in Afghanistan	MISC	LOCATION
1.0	court case	come	struggle against expect Taliban insurgent in south invade by force	0	ORGANIZATION
1.0	lawyer Paul Raudnitz	tell	judge	PERSON	0
1.0	Brighton	have	English resort town	O	LOCATION
1.0	court case	come	struggle invade by us-led force follow September 11	0	DATE
1.0	court case	come	struggle against expect Taliban insurgent in south invade by us-led force	0	ORGANIZATION
1.0	main language	be in	Afghanistan who is accused of passing secrets to the enemy , reportedly Iran	0	LOCATION
1.0	court case	come	struggle against Taliban insurgent in south of Afghanistan invade by force follow September 11	0	DATE
1.0	lawyer Paul Raudnitz	intend	useful to enemy	0	0
1.0	corporal Daniel James	be remand during	he appearance at Old Bailey	PERSON	LOCATION
1.0	court case	come	struggle in south	0	0
1.0	court	reject bail for	aide to british commander of NATO troops	0	ORGANIZATION
0.932196396705269	Pashtun	one of	main language in Afghanistan	MISC	LOCATION
1.0	court case	come	struggle against expect Taliban insurgent invade by us-led force	0	ORGANIZATION
1.0	corporal Daniel James	be	during he appearance remand until plea on June 15	PERSON	DATE
1.0	corporal Daniel James	be	during he appearance at Old Bailey in London on prison video-link remand until plea	PERSON	LOCATION
0.932196396705269	fluent Pashtun	one of	language	MISC	0
1.0	Richards	be	head more than International Security Assistance Force	PERSON	ORGANIZATION
1.0	Richards	be	head more than 30,000-strong International Security Assistance Force	PERSON	ORGANIZATION
1.0	The judge	have	innocence	O	O
1.0	court case	come	struggle against Taliban insurgent invade by force follow September 11	0	DATE
1.0	Richards	be more than	International Security Assistance Force	PERSON	ORGANIZATION
1.0	lawyer Paul Raudnitz	be	take	0	0
1.0	court case	come	struggle against expect Taliban insurgent in south of Afghanistan	0	LOCATION
1.0	judge	reject request for	bail	0	0
1.0	Daniel James	have	decision	O	O
1.0	lawyer Paul Raudnitz	be	take into custody on charge	0	0
1.0	corporal Daniel James	be	during he appearance at Old Bailey in London remand until plea	PERSON	LOCATION
0.932196396705269	Pashtun	one of	language in Afghanistan	MISC	LOCATION
0.932196396705269	fluent Pashtun	one of	main language	MISC	0
1.0	Richards	be	head of NATO 's more than 30,000-strong International Security Assistance Force in Afghanistan	PERSON	ORGANIZATION
1.0	Richards	be more	head	PERSON	0
1.0	court case	come	struggle against expect Taliban insurgent invade by us-led force follow September 11	0	DATE
1.0	lawyer Paul Raudnitz	be take on	charge	0	0
1.0	lawyer Paul Raudnitz	be take at_time	last month	0	DATE
0.932196396705269	Pashtun	one	language in Afghanistan	MISC	LOCATION
1.0	Richards	be more than	International Security Assistance Force in Afghanistan	PERSON	ORGANIZATION
1.0	court case	come	struggle against Taliban insurgent in south invade	0	ORGANIZATION
1.0	court case	come	struggle against expect Taliban insurgent in south	0	ORGANIZATION
1.0	charge	heighten tension over	islamic republic 's plan	0	0
1.0	lawyer Paul Raudnitz	be	take into custody last month on charge allege	0	DATE
1.0	court	reject bail at_time	Friday	0	DATE
1.0	corporal Daniel James	be	during he appearance at Old Bailey in London remand in custody	PERSON	LOCATION
1.0	corporal Daniel James	be remand in	custody	PERSON	0
1.0	lawyer Paul Raudnitz	be take at_time	month	0	DATE
1.0	Richards	be	more	PERSON	0
1.0	decision	be	deliberate	0	0
1.0	charge	heighten	tension between West	0	0
1.0	corporal Daniel James	be	remand	PERSON	0
