1.0	Galaxy	have	manager	O	MISC
1.0	ESPN	be on	Friday	ORGANIZATION	DATE
1.0	Beckham	tell	ESPN	PERSON	ORGANIZATION
1.0	Beckham	tell	ESPN on Friday	PERSON	DATE
1.0	Beckham	be	fan	0	0
1.0	jersey	have	part	O	O
1.0	that	would	would number wear	0	0
1.0	that	would	would number	0	0
1.0	Beckham	have	deal	O	O
1.0	Beckham	lead chicago bulls in	1990s	0	DATE
1.0	that	would	would same number	0	0
1.0	Michael Jordan when he led the Chicago Bulls to six National Basketball Association titles in the 1990s	have	fan	O	PERSON
1.0	that	would	would same number wear	0	0
1.0	his	have	contract	O	O
1.0	Beckham	be	huge fan	0	0
1.0	Major League Soccer	have	Los Angeles Galaxy	ORGANIZATION	ORGANIZATION
1.0	Beckham	lead chicago bulls to	six National Basketball Association title	0	ORGANIZATION
1.0	Beckham	lead	Chicago Bulls	0	ORGANIZATION
1.0	Beckham	be huge fan of	Michael Jordan when he led the Chicago Bulls to six National Basketball Association titles in the 1990s	0	PERSON
1.0	Beckham	be fan of	Michael Jordan when he led the Chicago Bulls to six National Basketball Association titles in the 1990s	0	PERSON
1.0	Beckham	be	huge	0	0
1.0	David Beckham	have	jersey	O	PERSON
