1.0	he approach	roll onto	green	0	0
1.0	I	stay in	moment	0	0
1.0	he	close in	par	0	0
1.0	Fujikawa	play	last three hole	PERSON	NUMBER
1.0	Fujikawa	play	last three hole in even par	PERSON	NUMBER
1.0	fairways	have	one	NUMBER	O
1.0	diminutive Tadd Fujikawa	become	player	PERSON	0
1.0	his	have	approach	O	O
1.0	diminutive Tadd Fujikawa	become	second youngest player	PERSON	ORDINAL
1.0	my	have	game	O	O
1.0	he	just miss birdie on	17th	0	ORDINAL
1.0	Fujikawa 's two-round total	be better	two shot	NUMBER	NUMBER
1.0	Tadd Fujikawa	fire	four-under 66	PERSON	DURATION
1.0	he	sink	12-foot eagle putt	0	0
1.0	Fujikawa	play	three hole in even par	PERSON	NUMBER
1.0	her	have	wrist	O	O
1.0	diminutive Tadd Fujikawa	become	second player	PERSON	ORDINAL
1.0	I	be just try	stay in moment	0	0
1.0	Fujikawa	play	three hole in par	PERSON	NUMBER
1.0	he	miss	birdie	0	0
1.0	Fujikawa 's total	be better	two shot	PERSON	NUMBER
1.0	Fujikawa	have	two-round total of three-under 137	PERSON	NUMBER
1.0	Fujikawa 's total	be	better	PERSON	0
1.0	he	get into	weekend action	0	DATE
1.0	wie	fail in	she bid	0	0
1.0	diminutive Tadd Fujikawa	become	youngest player	PERSON	0
1.0	last three hole	be in	even par	NUMBER	0
1.0	Tadd Fujikawa	become	player	PERSON	0
1.0	I	be try	stay in moment	0	0
1.0	I	be try	stay	0	0
1.0	my	have	best	O	O
1.0	Fujikawa 's two-round total	be	better	NUMBER	0
1.0	Fujikawa	have	total	O	PERSON
1.0	a	flourish with	eagle	0	0
1.0	Tadd Fujikawa	become in	history	PERSON	0
1.0	he	miss birdie on	17th	0	ORDINAL
1.0	I	be just try	stay	0	0
1.0	Fujikawa	play	last three hole in par	PERSON	NUMBER
1.0	diminutive Tadd Fujikawa	become in	history	PERSON	0
1.0	Tadd Fujikawa	become	second player	PERSON	ORDINAL
1.0	he	close in	three-under par	0	NUMBER
1.0	her	have	bid	O	O
1.0	Tadd Fujikawa	become	youngest player	PERSON	0
1.0	cut	open on	Friday	0	DATE
1.0	Fujikawa	play	three hole	PERSON	NUMBER
1.0	he	just miss	birdie	0	0
1.0	diminutive Tadd Fujikawa	fire	four-under 66	PERSON	DURATION
1.0	with a	flourish with	eagle on 18	0	NUMBER
1.0	Tadd Fujikawa	become	second youngest player	PERSON	ORDINAL
1.0	with a	flourish with	eagle	0	0
1.0	a	flourish with	eagle on 18	0	NUMBER
1.0	137	have	total	O	NUMBER
1.0	he	sink	eagle putt	0	0
